id,product gcmd id,sds name,product,product version,processing level,measurements,keywords,time interval,spatial resolution,instrument,platform,platform instrument
NLDAS_NOAH0125_M_002_nswrssfc,GES_DISC_NLDAS_NOAH0125_M_V002,nswrssfc,NLDAS_NOAH0125_M,002,4,"Radiation, Net",Surface;net;shortwave;radiation;flux,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_pevprsfc,GES_DISC_NLDAS_NOAH0125_M_V002,pevprsfc,NLDAS_NOAH0125_M,002,4,Evaporation,Potential;evaporation;rate,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_rsmacrsfc,GES_DISC_NLDAS_NOAH0125_M_V002,rsmacrsfc,NLDAS_NOAH0125_M,002,4,Soil Moisture,Relative;soil;moisture;availability;control;factor,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_rzsmgnd,GES_DISC_NLDAS_NOAH0125_M_V002,rzsmgnd,NLDAS_NOAH0125_M,002,4,Soil Moisture,Root;zone;soil;moisture,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_sbsnosfc,GES_DISC_NLDAS_NOAH0125_M_V002,sbsnosfc,NLDAS_NOAH0125_M,002,4,Evaporation,Sublimation;evaporation;from;snow,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_shtflsfc,GES_DISC_NLDAS_NOAH0125_M_V002,shtflsfc,NLDAS_NOAH0125_M,002,4,Heat Flux,Sensible;heat;flux,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_snodsfc,GES_DISC_NLDAS_NOAH0125_M_V002,snodsfc,NLDAS_NOAH0125_M,002,4,Precipitation,Snow;depth,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_snohfsfc,GES_DISC_NLDAS_NOAH0125_M_V002,snohfsfc,NLDAS_NOAH0125_M,002,4,Heat Flux,Snow;phase-change;heat;flux,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_snomsfc,GES_DISC_NLDAS_NOAH0125_M_V002,snomsfc,NLDAS_NOAH0125_M,002,4,Precipitation,Snow;melt,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_snowcsfc,GES_DISC_NLDAS_NOAH0125_M_V002,snowcsfc,NLDAS_NOAH0125_M,002,4,Precipitation,Snow;cover,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_soilm0_100cm,GES_DISC_NLDAS_NOAH0125_M_V002,soilm0_100cm,NLDAS_NOAH0125_M,002,4,Soil Moisture,Soil;moisture;content;top;1;meter;0-100;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_soilm0_10cm,GES_DISC_NLDAS_NOAH0125_M_V002,soilm0_10cm,NLDAS_NOAH0125_M,002,4,Soil Moisture,Soil;moisture;content;layer;1;0-10;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_soilm0_200cm,GES_DISC_NLDAS_NOAH0125_M_V002,soilm0_200cm,NLDAS_NOAH0125_M,002,4,Soil Moisture,Soil;moisture;content;total;column;0-200;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_soilm100_200cm,GES_DISC_NLDAS_NOAH0125_M_V002,soilm100_200cm,NLDAS_NOAH0125_M,002,4,Soil Moisture,Soil;moisture;content;layer;4;100-200;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_soilm10_40cm,GES_DISC_NLDAS_NOAH0125_M_V002,soilm10_40cm,NLDAS_NOAH0125_M,002,4,Soil Moisture,Soil;moisture;content;layer;2;10-40;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_soilm40_100cm,GES_DISC_NLDAS_NOAH0125_M_V002,soilm40_100cm,NLDAS_NOAH0125_M,002,4,Soil Moisture,Soil;moisture;content;layer;3;40-100;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_ssrunsfc,GES_DISC_NLDAS_NOAH0125_M_V002,ssrunsfc,NLDAS_NOAH0125_M,002,4,Runoff,Surface;runoff;non-infiltrating,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_transsfc,GES_DISC_NLDAS_NOAH0125_M_V002,transsfc,NLDAS_NOAH0125_M,002,4,Evapotranspiration,Transpiration,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_tsoil0_10cm,GES_DISC_NLDAS_NOAH0125_M_V002,tsoil0_10cm,NLDAS_NOAH0125_M,002,4,Soil Temperature,Soil;temperature;layer;1;0-10;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_tsoil100_200cm,GES_DISC_NLDAS_NOAH0125_M_V002,tsoil100_200cm,NLDAS_NOAH0125_M,002,4,Soil Temperature,Soil;temperature;layer;4;100-200;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_tsoil10_40cm,GES_DISC_NLDAS_NOAH0125_M_V002,tsoil10_40cm,NLDAS_NOAH0125_M,002,4,Soil Temperature,Soil;temperature;layer;2;10-40;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_tsoil40_100cm,GES_DISC_NLDAS_NOAH0125_M_V002,tsoil40_100cm,NLDAS_NOAH0125_M,002,4,Soil Temperature,Soil;temperature;layer;3;40-100;cm,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_vegsfc,GES_DISC_NLDAS_NOAH0125_M_V002,vegsfc,NLDAS_NOAH0125_M,002,4,Vegetation,Vegetation,monthly,0.125 deg.,Model,Model,NLDAS Model
NLDAS_NOAH0125_M_002_weasdsfc,GES_DISC_NLDAS_NOAH0125_M_V002,weasdsfc,NLDAS_NOAH0125_M,002,4,Soil Moisture,Snow;water-equivalent;accumulated,monthly,0.125 deg.,Model,Model,NLDAS Model
GLDAS_NOAH10_M_020_avgsurft,GES_DISC_GLDAS_NOAH10_M_V020,avgsurft,GLDAS_NOAH10_M,020,4,Surface Temperature,Average;surface;temperature,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_canopint,GES_DISC_GLDAS_NOAH10_M_V020,canopint,GLDAS_NOAH10_M,020,4,Precipitation,Total;canopy;water;storage,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_evap,GES_DISC_GLDAS_NOAH10_M_V020,evap,GLDAS_NOAH10_M,020,4,Evapotranspiration,Total;evapotranspiration,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_lwdown,GES_DISC_GLDAS_NOAH10_M_V020,lwdown,GLDAS_NOAH10_M,020,4,Incident Radiation,Surface;incident;longwave;radiation,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_lwnet,GES_DISC_GLDAS_NOAH10_M_V020,lwnet,GLDAS_NOAH10_M,020,4,"Radiation, Net",Net;longwave;radiation,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_psurf,GES_DISC_GLDAS_NOAH10_M_V020,psurf,GLDAS_NOAH10_M,020,4,Air Pressure,Surface;pressure,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_qair,GES_DISC_GLDAS_NOAH10_M_V020,qair,GLDAS_NOAH10_M,020,4,Atmospheric Moisture,Near;surface;specific;humidity,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_qg,GES_DISC_GLDAS_NOAH10_M_V020,qg,GLDAS_NOAH10_M,020,4,Ground Heat,Ground;heat;flux,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_qh,GES_DISC_GLDAS_NOAH10_M_V020,qh,GLDAS_NOAH10_M,020,4,Sensible Heat Flux,Sensible;heat;flux,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_qle,GES_DISC_GLDAS_NOAH10_M_V020,qle,GLDAS_NOAH10_M,020,4,Latent Heat Flux,Latent;heat;flux,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_qs,GES_DISC_GLDAS_NOAH10_M_V020,qs,GLDAS_NOAH10_M,020,4,Runoff,Surface;runoff,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_qsb,GES_DISC_GLDAS_NOAH10_M_V020,qsb,GLDAS_NOAH10_M,020,4,Runoff,Subsurface;runoff,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_qsm,GES_DISC_GLDAS_NOAH10_M_V020,qsm,GLDAS_NOAH10_M,020,4,Precipitation,Snowmelt,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_rainf,GES_DISC_GLDAS_NOAH10_M_V020,rainf,GLDAS_NOAH10_M,020,4,Precipitation,Rainfall;rate,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_snowf,GES_DISC_GLDAS_NOAH10_M_V020,snowf,GLDAS_NOAH10_M,020,4,Precipitation,Snowfall;rate,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_soilm0_10cm,GES_DISC_GLDAS_NOAH10_M_V020,soilm0_10cm,GLDAS_NOAH10_M,020,4,Soil Moisture,Average;layer;1;0-10;cm;soil;moisture,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_soilm100_200cm,GES_DISC_GLDAS_NOAH10_M_V020,soilm100_200cm,GLDAS_NOAH10_M,020,4,Soil Moisture,Average;layer;4;100-200;cm;soil;moisture,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_soilm10_40cm,GES_DISC_GLDAS_NOAH10_M_V020,soilm10_40cm,GLDAS_NOAH10_M,020,4,Soil Moisture,Average;layer;2;10-40;cm;soil;moisture,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_soilm40_100cm,GES_DISC_GLDAS_NOAH10_M_V020,soilm40_100cm,GLDAS_NOAH10_M,020,4,Soil Moisture,Average;layer;3;40-100;cm;soil;moisture,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_swdown,GES_DISC_GLDAS_NOAH10_M_V020,swdown,GLDAS_NOAH10_M,020,4,Incident Radiation,Surface;incident;shortwave;radiation,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_swnet,GES_DISC_GLDAS_NOAH10_M_V020,swnet,GLDAS_NOAH10_M,020,4,"Radiation, Net",Net;shortwave;radiation,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_tair,GES_DISC_GLDAS_NOAH10_M_V020,tair,GLDAS_NOAH10_M,020,4,Air Temperature,Near;surface;air;temperature,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_tsoil0_10cm,GES_DISC_GLDAS_NOAH10_M_V020,tsoil0_10cm,GLDAS_NOAH10_M,020,4,Soil Temperature,Average;layer;1;0-10;cm;soil;temperature,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_tsoil100_200cm,GES_DISC_GLDAS_NOAH10_M_V020,tsoil100_200cm,GLDAS_NOAH10_M,020,4,Soil Temperature,Average;layer;4;100-200;cm;soil;temperature,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_tsoil10_40cm,GES_DISC_GLDAS_NOAH10_M_V020,tsoil10_40cm,GLDAS_NOAH10_M,020,4,Soil Temperature,Average;layer;2;10-40;cm;soil;temperature,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_tsoil40_100cm,GES_DISC_GLDAS_NOAH10_M_V020,tsoil40_100cm,GLDAS_NOAH10_M,020,4,Soil Temperature,Average;layer;3;40-100;cm;soil;temperature,monthly,1 deg.,Model,Model,GLDAS Model
GLDAS_NOAH10_M_020_wind,GES_DISC_GLDAS_NOAH10_M_V020,wind,GLDAS_NOAH10_M,020,4,Wind,Near;surface;wind;magnitude,monthly,1 deg.,Model,Model,GLDAS Model
OMDOAO3e_003_ColumnAmountO3,GES_DISC_OMDOAO3e_V003,ColumnAmountO3,OMDOAO3e,003,3,Ozone,Total;Column;Amount;Ozone;OMI;DOAS;Differential Optical Absorption Spectroscopy,daily,0.25 deg.,OMI,Aura,OMI
OMNO2d_003_ColumnAmountNO2CloudScreened,GES_DISC_OMNO2d_V003,ColumnAmountNO2CloudScreened,OMNO2d,003,3,NO2,NO2;vertical;column;density,daily,0.25 deg.,OMI,Aura,OMI
OMNO2d_003_ColumnAmountNO2TropCloudScreened,GES_DISC_OMNO2d_V003,ColumnAmountNO2TropCloudScreened,OMNO2d,003,3,NO2,NO2;tropospheric;column,daily,0.25 deg.,OMI,Aura,OMI
OMSO2e_003_ColumnAmountSO2_PBL,GES_DISC_OMSO2e_V003,ColumnAmountSO2_PBL,OMSO2e,003,3,SO2,Vertical;Column;Amount;SO2;Planetary;Boundary;Layer;PBL,daily,0.25 deg.,OMI,Aura,OMI
OMTO3d_003_ColumnAmountO3,GES_DISC_OMTO3d_V003,ColumnAmountO3,OMTO3d,003,3,Ozone,Total;Column;Amount;Ozone;OMI;TOMS-like,daily,1 deg.,OMI,Aura,OMI
OMTO3e_003_ColumnAmountO3,GES_DISC_OMTO3e_V003,ColumnAmountO3,OMTO3e,003,3,Ozone,Total;Column;Amount;Ozone;OMI;TOMS-like,daily,0.25 deg.,OMI,Aura,OMI
OMUVBd_003_ErythemalDailyDose,GES_DISC_OMUVBd_V003,ErythemalDailyDose,OMUVBd,003,3,Erythemal UV,Erythemal;Daily;Dose,daily,1 deg.,OMI,Aura,OMI
OMUVBd_003_ErythemalDoseRate,GES_DISC_OMUVBd_V003,ErythemalDoseRate,OMUVBd,003,3,Erythemal UV,Erythemal;Dose;Rate,daily,1 deg.,OMI,Aura,OMI
OMUVBd_003_Irradiance305,GES_DISC_OMUVBd_V003,Irradiance305,OMUVBd,003,3,Irradiance,Irradiance;305;nm,daily,1 deg.,OMI,Aura,OMI
OMUVBd_003_Irradiance310,GES_DISC_OMUVBd_V003,Irradiance310,OMUVBd,003,3,Irradiance,Irradiance;310;nm,daily,1 deg.,OMI,Aura,OMI
OMUVBd_003_Irradiance324,GES_DISC_OMUVBd_V003,Irradiance324,OMUVBd,003,3,Irradiance,Irradiance;324;nm,daily,1 deg.,OMI,Aura,OMI
OMUVBd_003_Irradiance380,GES_DISC_OMUVBd_V003,Irradiance380,OMUVBd,003,3,Irradiance,Irradiance;380;nm,daily,1 deg.,OMI,Aura,OMI
OMUVBd_003_UVindex,GES_DISC_OMUVBd_V003,UVindex,OMUVBd,003,3,UV Exposure,UV;Index,daily,1 deg.,OMI,Aura,OMI
OMAERUVd_003_FinalAerosolSingleScattAlb388,GES_DISC_OMAERUVd_V003,FinalAerosolSingleScattAlb388,OMAERUVd,003,3,Albedo,Aerosol;Single;Scattering;Albedo;OMI;388,daily,1 deg.,OMI,Aura,OMI
OMAERUVd_003_FinalAerosolSingleScattAlb500,GES_DISC_OMAERUVd_V003,FinalAerosolSingleScattAlb500,OMAERUVd,003,3,Albedo,Aerosol;Single;Scattering;Albedo;OMI;500,daily,1 deg.,OMI,Aura,OMI
OMTO3d_003_RadiativeCloudFraction,GES_DISC_OMTO3d_V003,RadiativeCloudFraction,OMTO3d,003,3,Reflectivity,Radiative;Cloud;Fraction;Lambertian;Equivalent;Reflectivity;RCF;OMI,daily,1 deg.,OMI,Aura,OMI
OMTO3e_003_RadiativeCloudFraction,GES_DISC_OMTO3e_V003,RadiativeCloudFraction,OMTO3e,003,3,Reflectivity,Radiative;Cloud;Fraction;Effective;Lambertian;Reflectivity;RCF;OMI,daily,0.25 deg.,OMI,Aura,OMI
GPM_3IMERGM_03_precipitation,GES_DISC_GPM_3IMERGM_V03,precipitation,GPM_3IMERGM,03,3,Precipitation,rain;precipitation;imerg;satellite;rain rate;gauge;snow;Huffman;GPM;rainfall;TOVAS;IMERG Final,monthly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGM_03_gaugeRelativeWeighting,GES_DISC_GPM_3IMERGM_V03,gaugeRelativeWeighting,GPM_3IMERGM,03,3,Precipitation,precipitation;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,monthly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGM_03_probabilityLiquidPrecipitation,GES_DISC_GPM_3IMERGM_V03,probabilityLiquidPrecipitation,GPM_3IMERGM,03,3,Precipitation,precipitation;rain rate;rain;snow;merged;Huffman;TOVAS;rainfall;GPM;imerg;IMERG Final,monthly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGM_03_randomError,GES_DISC_GPM_3IMERGM_V03,randomError,GPM_3IMERGM,03,3,Precipitation,precipitation;rain rate;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,monthly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_HQprecipitation,GES_DISC_GPM_3IMERGHH_V03,HQprecipitation,GPM_3IMERGHH,03,3,Precipitation,precipitation;HQ;rain rate;rain;merged;imerg;Huffman;GPM;TOVAS;rainfall;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_HQobservationTime,GES_DISC_GPM_3IMERGHH_V03,HQobservationTime,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain rate;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_HQprecipSource,GES_DISC_GPM_3IMERGHH_V03,HQprecipSource,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain rate;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_IRkalmanFilterWeight,GES_DISC_GPM_3IMERGHH_V03,IRkalmanFilterWeight,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain rate;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_IRprecipitation,GES_DISC_GPM_3IMERGHH_V03,IRprecipitation,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain rate;rain;snow;imerg;merged;Huffman;GPM;TOVAS;rainfall;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_precipitationCal,GES_DISC_GPM_3IMERGHH_V03,precipitationCal,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain rate;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_precipitationUncal,GES_DISC_GPM_3IMERGHH_V03,precipitationUncal,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain rate;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_randomError,GES_DISC_GPM_3IMERGHH_V03,randomError,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
GPM_3IMERGHH_03_probabilityLiquidPrecipitation,GES_DISC_GPM_3IMERGHH_V03,probabilityLiquidPrecipitation,GPM_3IMERGHH,03,3,Precipitation,precipitation;rain rate;rain;snow;merged;imerg;Huffman;TOVAS;rainfall;GPM;IMERG Final,half-hourly,0.1 deg.,Multi-instruments,GPM,GPM
AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere,GES_DISC_AIRX3C2M_V005,mole_fraction_of_carbon_dioxide_in_free_troposphere,AIRX3C2M,005,3,CO2,"AIRS, CO2, carbon dioxide;AIRX3C2M",monthly,2 x 2.5 deg.,AIRS,Aqua,AIRS
AIRS3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere,GES_DISC_AIRS3C2M_V005,mole_fraction_of_carbon_dioxide_in_free_troposphere,AIRS3C2M,005,3,CO2,"AIRS, CO2, Carbon Dioxide;AIRS3C2M",monthly,2 x 2.5 deg.,AIRS,Aqua,AIRS
NOBM_MON_R2014_chl,GES_DISC_NOBM_MON_VR2014,chl,NOBM_MON,R2014,4,Phytoplankton,Chlorophytes;NOBM;Monthly;NOBM_MON;Ocean;Model;chl,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_coc,GES_DISC_NOBM_MON_VR2014,coc,NOBM_MON,R2014,4,Phytoplankton,Coccolithophores;NOBM;Monthly;NOBM_MON;Ocean;Model;coc,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_cya,GES_DISC_NOBM_MON_VR2014,cya,NOBM_MON,R2014,4,Phytoplankton,Cyanobacteria;NOBM;Monthly;NOBM_MON;Ocean;Model;cya,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_dia,GES_DISC_NOBM_MON_VR2014,dia,NOBM_MON,R2014,4,Phytoplankton,Diatoms;NOBM;Monthly;NOBM_MON;Ocean;Model;dia,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_irn,GES_DISC_NOBM_MON_VR2014,irn,NOBM_MON,R2014,4,Iron,Iron;NOBM;Monthly;NOBM_MON;Ocean;Model;irn,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_h,GES_DISC_NOBM_MON_VR2014,h,NOBM_MON,R2014,4,Mixed Layer Depth,Mixed Layer;Depth;NOBM;Monthly;NOBM_MON;Ocean;Model;h,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_rno,GES_DISC_NOBM_MON_VR2014,rno,NOBM_MON,R2014,4,Nitrate,Nitrate;NOBM;Monthly;NOBM_MON;Ocean;Model,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_ice,GES_DISC_NOBM_MON_VR2014,ice,NOBM_MON,R2014,4,Snow/Ice,Sea;Ice;Cover;NOBM;Monthly;NOBM_MON;Ocean;Model,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_tot,GES_DISC_NOBM_DAY_VR2014,tot,NOBM_DAY,R2014,4,Chlorophyll,Chlorophyll;Chl;Chlo;NOBM;Daily;NOBM_DAY;Ocean;Model;tot,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_MON_R2014_tot,GES_DISC_NOBM_MON_VR2014,tot,NOBM_MON,R2014,4,Chlorophyll,Chlorophyll;Chl;Chlo;NOBM;Monthly;NOBM_MON;Ocean;Model;tot,monthly,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_chl,GES_DISC_NOBM_DAY_VR2014,chl,NOBM_DAY,R2014,4,Phytoplankton,Chlorophytes;NOBM;Daily;NOBM_DAY;Ocean;Model;chl,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_coc,GES_DISC_NOBM_DAY_VR2014,coc,NOBM_DAY,R2014,4,Phytoplankton,Coccolithophores;NOBM;Daily;NOBM_DAY;Ocean;Model;coc,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_cya,GES_DISC_NOBM_DAY_VR2014,cya,NOBM_DAY,R2014,4,Phytoplankton,Cyanobacteria;NOBM;Daily;NOBM_DAY;Ocean;Model;cya,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_dia,GES_DISC_NOBM_DAY_VR2014,dia,NOBM_DAY,R2014,4,Phytoplankton,Diatoms;NOBM;Daily;NOBM_DAY;Ocean;Model;dia,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_irn,GES_DISC_NOBM_DAY_VR2014,irn,NOBM_DAY,R2014,4,Iron,Iron;NOBM;Daily;NOBM_DAY;Ocean;Model;irn,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_h,GES_DISC_NOBM_DAY_VR2014,h,NOBM_DAY,R2014,4,Mixed Layer Depth,Mixed Layer;Depth;NOBM;Daily;NOBM_DAY;Ocean;Model;h,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_rno,GES_DISC_NOBM_DAY_VR2014,rno,NOBM_DAY,R2014,4,Nitrate,Nitrate;NOBM;Daily;NOBM_DAY;Ocean;Model,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
NOBM_DAY_R2014_ice,GES_DISC_NOBM_DAY_VR2014,ice,NOBM_DAY,R2014,4,Snow/Ice,Sea;Ice;Cover;NOBM;Daily;NOBM_DAY;Ocean;Model,daily,0.667 x 1.25 deg.,NOBM,Model,NOBM Model
TRMM_3A12_007_cldIce,GES_DISC_TRMM_3A12_V7,cldIce,TRMM_3A12,7,3,Cloud Properties,Cloud;Ice;Cloud ice;Precipitation;TRMM;TMI;TOVAS;profile,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_cldWater,GES_DISC_TRMM_3A12_V7,cldWater,TRMM_3A12,7,3,Cloud Properties,Cloud;Liquid;Water;cloud liquid water;TOVAS;profile,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_convectPrecipitation,GES_DISC_TRMM_3A12_V7,convectPrecipitation,TRMM_3A12,7,3,Precipitation,Surface;Convective;Precipitation;Rate;surface convective precipitation;TRMM;TMI;TOVAS,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_graupel,GES_DISC_TRMM_3A12_V7,graupel,TRMM_3A12,7,3,Precipitation,Graupel;precipitation;TRMM;TMI;TOVAS;profile,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_rainWater,GES_DISC_TRMM_3A12_V7,rainWater,TRMM_3A12,7,3,Precipitation,Rain;Water;precipitation;TRMM;TMI;TOVAS;profile,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_snow,GES_DISC_TRMM_3A12_V7,snow,TRMM_3A12,7,3,Precipitation,Snow;precipitation;TRMM;TMI;TOVAS;profile,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_surfacePrecipitation,GES_DISC_TRMM_3A12_V7,surfacePrecipitation,TRMM_3A12,7,3,Precipitation,Surface;Precipitation;Rate;TRMM;TMI;TOVAS,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_latentHeat,GES_DISC_TRMM_3A12_V7,latentHeat,TRMM_3A12,7,3,Latent Heat,Latent;Heating;latent heating;TRMM;TMI;TOVAS;profile,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3A12_007_surfaceRain,GES_DISC_TRMM_3A12_V7,surfaceRain,TRMM_3A12,7,3,Precipitation,Surface;Rain;Rate;surface rain;precipitation;TRMM;TMI;TOVAS,monthly,0.5 deg.,TMI,TRMM,TRMM
TRMM_3B42_007_precipitation,GES_DISC_TRMM_3B42_V7,precipitation,TRMM_3B42,7,3,Precipitation,Precipitation;3 hourly;Precipitation Rate;Precipitation Rate Estimate;Rainfall;Rainfall Rate Estimate;Estimate;TRMM;3B42;TRMM_3B42;TOVAS;TMPA,3-hourly,0.25 deg.,Multi-instruments,TRMM,TRMM
